Name,titre,Listeners,,
Kings of Leon,Use Somebody,1343966,,
Rita Ora,Your Song,133074,,
Foster the People,Worst Nites,16253,,
Bloc Party,Banquet,1000328,,
Fall Out Boy,"Sugar, We're Goin Down",564298,,
Dua Lipa,Blow Your Mind (Mwah),156373,,
BROCKHAMPTON,New Orleans,48006,,
Metro Boomin,10AM/Save The World (feat. Gucci Mane),16083,,
Lana Del Rey,Blue Jeans,722056,,
Kendrick Lamar,ELEMENT.,195712,,
Grizzly Bear,Two Weeks,620243,,
Ariana Grande,Blazed (feat. Pharrell Williams),57924,,
Dua Lipa,Be The One,171737,,
Ariana Grande,Borderline (feat. Missy Elliott),51325,,
Survivor,Eye of the Tiger,909601,,
Anderson .Paak,Left to Right,16131,,
Weezer,Buddy Holly,989080,,
Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,63243,,
Imagine Dragons,Birds,15993,,
Joji,CAN'T GET OVER YOU (feat. Clams Casino),28125,,
Nicki Minaj,Chun-Li,80620,,
Lorde,Tennis Court,499016,,
The Carters,Apeshit,78699,,
Pabllo Vittar,Problema Seu,29194,,
Billie Eilish,bitches broken hearts,45419,,
Talking Heads,Psycho Killer - 2005 Remastered Version,140941,,
George Harrison,My Sweet Lord,531749,,
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",127496,,
Taylor Swift,Style,188522,,
Radiohead,Everything in Its Right Place,976011,,
The Lumineers,Ho Hey,797671,,
David Bowie,Starman - 2012 Remastered Version,159988,,
Kanye West,Gold Digger,592963,,
Kendrick Lamar,Alright,269328,,
The Doors,Riders on the Storm,865768,,
Lauv,There's No Way (feat. Julia Michaels),29896,,
Hall & Oates,You Make My Dreams,413872,,
Ed Sheeran,Photograph,397713,,
Taylor Swift,Wildest Dreams,173028,,
OutKast,Hey Ya! - Radio Mix / Club Mix,310070,,
Twenty One Pilots,Levitate,51966,,
Kavinsky,Nightcall,458640,,
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),281313,,
Nickelback,How You Remind Me,985872,,
Gorillaz,On Melancholy Hill,712113,,
Pabllo Vittar,Disk Me,23888,,
Cyndi Lauper,Girls Just Want to Have Fun,731646,,
Beyoncé,Crazy in Love,719884,,
Charlie Puth,Attention,187081,,
Michael Bublé,It's Beginning to Look a Lot Like Christmas,283572,,
Miley Cyrus,Party in the U.S.A.,626522,,
Mitski,Nobody,47598,,
Avril Lavigne,Complicated,687977,,
Arcade Fire,The Suburbs,640258,,
Beach House,Space Song,170395,,
Bobby Helms,Jingle Bell Rock,399865,,
LIL PEEP,Save That Shit,67466,,
Metro Boomin,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",15484,,
Arctic Monkeys,I Wanna Be Yours,417967,,
blink-182,What's My Age Again?,869359,,
"Tyler, the Creator",Lights On (feat. Ryan Beatty & Santigold),15760,,
Radiohead,Weird Fishes/ Arpeggi,104252,,
Florence + the Machine,You've Got the Love,897189,,
Fleetwood Mac,Landslide,421172,,
Modest Mouse,Float On,1109046,,
David Bowie,"""Heroes"" - 2017 Remastered Version",55667,,
Arctic Monkeys,Snap Out of It,433111,,
Khalid,Love Lies (with Normani),103611,,
Britney Spears,Oops!...I Did It Again,348466,,
Shakira,Hips Don't Lie,548418,,
BlocBoy JB,Look Alive (feat. Drake),100355,,
Arctic Monkeys,505,606435,,
Travi$ Scott,CAROUSEL,62976,,
Guns N' Roses,November Rain,960769,,
Fleetwood Mac,Everywhere - 2017 Remastered,40306,,
Joji,ATTENTION,22058,,
Kanye West,Famous,218458,,
My Chemical Romance,Teenagers,726043,,
Little Mix,Wasabi,15399,,
America,A Horse With No Name,477597,,
Mumford & Sons,Woman,15534,,
Pink Floyd,Comfortably Numb,893963,,
Loud Luxury,Body,77960,,
Daft Punk,One More Time,1164357,,
Ariana Grande,Love Me Harder,279242,,
Creedence Clearwater Revival,Have You Ever Seen The Rain?,430870,,
Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",73009,,
Motörhead,Ace of Spades,925277,,
AC/DC,You Shook Me All Night Long,811851,,
Plain White T's,Hey There Delilah,929751,,
Andy Williams,It's the Most Wonderful Time of the Year,319871,,
Sufjan Stevens,Mystery Of Love,77789,,
BTS,FAKE LOVE,49119,,
Travi$ Scott,NO BYSTANDERS,52504,,
Frank Ocean,White Ferrari,122933,,
Avicii,Lonely Together (feat. Rita Ora),128137,,
Little Mix,Monster In Me,15198,,
Fleet Foxes,Mykonos,638809,,
Foo Fighters,Best of You,1130688,,
MGMT,When You Die,91147,,
Bon Jovi,You Give Love a Bad Name,751556,,
Lady Gaga,Born This Way,549708,,
The Fray,How to Save a Life,1128959,,
Arctic Monkeys,Mardy Bum,1069389,,
Kanye West,All of the Lights,705263,,
Pearl Jam,Even Flow,859876,,
Guns N' Roses,Paradise City,1094644,,
Incubus,Drive,936120,,
Lady Gaga,Just Dance,1014277,,
Rosalía,DI MI NOMBRE - Cap.8: Éxtasis,15106,,
Thundercat,King of the Hill,15094,,
Kansas,Carry on Wayward Son,647478,,
